#time	accel0	accel1	accel2

7739.768394	504	501	397
7739.788394	504	502	397
7739.808394	504	502	396
7739.828394	504	501	397
7739.848394	503	503	396
7739.868394	504	503	397
7739.888394	504	502	397
7739.908394	504	502	397
7739.928394	503	502	396
7739.948394	504	503	398
7739.963767	504	503	397
7739.983767	504	503	397
7740.003767	505	502	397
7740.023767	504	502	397
7740.043767	504	502	396
7740.063767	505	503	396
7740.083767	503	502	397
7740.103767	503	503	397
7740.123767	503	503	397
7740.143767	503	502	396
7740.159123	504	502	397
7740.179123	504	502	397
7740.199123	503	502	396
7740.219123	503	503	397
7740.239123	505	502	396
7740.259123	503	502	397
7740.279123	504	502	397
7740.299123	504	502	396
7740.319123	503	503	397
7740.339123	503	502	397
7740.354488	503	502	397
7740.374488	503	502	397
7740.394488	503	502	397
7740.414488	504	502	397
7740.434488	503	504	397
7740.454488	504	502	397
7740.474488	503	502	397
7740.494488	504	502	396
7740.514488	503	502	397
7740.534488	503	503	397
7740.549835	503	502	397
7740.569835	504	501	396
7740.589835	503	502	397
7740.609835	503	501	396
7740.629835	504	502	396
7740.649835	503	502	397
7740.669835	504	502	396
7740.689835	504	501	396
7740.709835	503	502	397
7740.729835	504	502	397
7740.745208	503	502	397
7740.765208	504	502	397
7740.785208	504	502	396
7740.805208	504	501	397
7740.825208	504	503	397
7740.845208	504	503	397
7740.865208	503	502	397
7740.885208	504	502	396
7740.905208	504	502	396
7740.925208	505	503	396
7740.940564	503	502	396
7740.960564	503	502	396
7740.980564	504	502	396
7741.000564	504	502	396
7741.020564	504	503	396
7741.040564	504	502	397
7741.060564	503	501	396
7741.080564	504	502	397
7741.100564	504	502	397
7741.120564	504	502	397
7741.135929	504	501	397
7741.155929	504	503	397
7741.175929	504	502	397
7741.195929	504	503	397
7741.215929	503	502	396
7741.235929	504	502	396
7741.255929	503	502	397
7741.275929	503	502	396
7741.295929	504	502	397
7741.315929	504	502	396
7741.331276	503	502	397
7741.351276	503	502	397
7741.371276	504	501	396
7741.391276	503	502	397
7741.411276	503	502	396
7741.431276	503	502	397
7741.451276	503	502	397
7741.471276	504	503	397
7741.491276	504	502	396
7741.511276	503	502	396
7741.526649	503	502	396
7741.546649	504	502	396
7741.566649	503	503	397
7741.586649	503	502	397
7741.606649	504	501	396
7741.626649	503	503	396
7741.646649	503	502	397
7741.666649	504	502	397
7741.686649	504	502	396
7741.706649	504	502	396
7741.722005	503	502	397
7741.742005	503	502	396
7741.762005	504	502	397
7741.782005	503	502	397
7741.802005	504	503	397
7741.822005	504	503	397
7741.842005	503	503	397
7741.862005	503	503	397
7741.882005	504	503	397
7741.902005	503	502	397
7741.917370	503	502	397
7741.937370	504	502	397
7741.957370	504	503	396
7741.977370	503	502	397
7741.997370	504	502	397
7742.017370	504	502	397
7742.037370	503	502	395
7742.057370	504	502	397
7742.077370	504	502	396
7742.097370	504	502	397
7742.112717	502	502	396
7742.132717	503	502	396
7742.152717	503	502	396
7742.172717	504	502	396
7742.192717	503	502	397
7742.212717	504	502	397
7742.232717	503	503	398
7742.252717	504	503	396
7742.272717	503	503	398
7742.292717	503	503	397
7742.308090	504	502	397
7742.328090	503	502	397
7742.348090	503	502	396
7742.368090	504	502	396
7742.388090	503	502	397
7742.408090	504	502	397
7742.428090	503	503	397
7742.448090	503	502	396
7742.468090	504	503	397
7742.488090	503	502	396
7742.503446	504	503	398
7742.523446	503	502	396
7742.543446	504	503	397
7742.563446	503	502	397
7742.583446	504	503	397
7742.603446	504	502	396
7742.623446	504	502	397
7742.643446	504	502	397
7742.663446	504	502	397
7742.683446	504	502	397
7742.698811	504	502	397
7742.718811	504	502	397
7742.738811	504	502	397
7742.758811	503	502	397
7742.778811	504	502	396
7742.798811	504	502	397
7742.818811	504	502	397
7742.838811	504	502	397
7742.858811	503	502	396
7742.878811	504	502	396
7742.894158	503	501	396
7742.914158	503	502	397
7742.934158	504	502	397
7742.954158	504	502	397
7742.974158	504	502	396
7742.994158	503	502	397
7743.014158	504	501	397
7743.034158	503	502	396
7743.054158	503	502	397
7743.074158	503	502	397
7743.089531	504	502	397
7743.109531	503	502	396
7743.129531	504	502	397
7743.149531	504	502	397
7743.169531	504	502	397
7743.189531	503	502	397
7743.209531	503	501	396
7743.229531	504	502	396
7743.249531	504	503	397
7743.269531	504	502	397
7743.284887	502	503	397
7743.304887	503	502	397
7743.324887	504	501	396
7743.344887	504	502	396
7743.364887	504	501	397
7743.384887	504	502	397
7743.404887	504	502	397
7743.424887	504	502	397
7743.444887	503	502	397
7743.464887	503	502	397
7743.480252	504	502	398
7743.500252	504	502	397
7743.520252	504	502	397
7743.540252	504	501	398
7743.560252	504	502	396
7743.580252	504	502	397
7743.600252	503	502	397
7743.620252	504	502	397
7743.640252	504	502	397
7743.660252	504	502	397
7743.675599	503	502	397
7743.695599	504	501	397
7743.715599	504	503	396
7743.735599	503	502	397
7743.755599	504	502	396
7743.775599	504	502	397
7743.795599	504	502	397
7743.815599	503	502	397
7743.835599	504	502	396
7743.855599	503	502	396
7743.870972	504	502	396
7743.890972	504	503	397
7743.910972	503	502	396
7743.930972	504	501	397
7743.950972	504	502	396
7743.970972	504	502	398
7743.990972	504	502	397
7744.010972	504	502	397
7744.030972	504	502	397
7744.050972	503	502	396
7744.066337	504	503	397
7744.086337	504	502	397
7744.106337	504	502	396
7744.126337	504	502	397
7744.146337	504	502	397
7744.166337	505	501	397
7744.186337	504	502	397
7744.206337	503	502	397
7744.226337	504	503	397
7744.246337	503	501	397
7744.261693	503	502	396
7744.281693	504	502	397
7744.301693	503	502	397
7744.321693	503	502	396
7744.341693	504	502	397
7744.361693	503	501	396
7744.381693	504	502	397
7744.401693	504	502	397
7744.421693	504	502	397
7744.441693	504	502	396
7744.457049	504	503	397
7744.477049	504	503	396
7744.497049	503	502	397
7744.517049	503	502	396
7744.537049	504	503	397
7744.557049	503	501	397
7744.577049	504	502	397
7744.597049	504	503	396
7744.617049	504	502	397
7744.637049	504	502	397
7744.652413	504	502	396
7744.672413	504	502	398
7744.692413	504	503	396
7744.712413	504	502	397
7744.732413	504	502	397
7744.752413	504	502	397
7744.772413	503	502	396
7744.792413	504	502	397
7744.812413	503	502	397
7744.832413	504	503	397
7744.847778	504	502	397
7744.867778	503	502	396
7744.887778	504	502	397
7744.907778	504	502	397
7744.927778	503	502	398
7744.947778	504	502	397
7744.967778	504	502	397
7744.987778	503	502	397
7745.007778	504	502	397
7745.027778	504	502	396
7745.043134	504	502	397
7745.063134	503	502	397
7745.083134	504	501	396
7745.103134	504	501	397
7745.123134	504	503	397
7745.143134	504	502	397
7745.163134	504	502	397
7745.183134	504	502	397
7745.203134	503	502	397
7745.223134	504	503	397
7745.238490	505	501	396
7745.258490	503	501	397
7745.278490	503	503	397
7745.298490	504	501	397
7745.318490	503	502	396
7745.338490	503	503	397
7745.358490	504	502	397
7745.378490	505	502	396
7745.398490	504	502	396
7745.418490	504	502	397
7745.433854	503	501	396
7745.453854	503	502	397
7745.473854	504	502	396
7745.493854	503	502	397
7745.513854	504	502	397
7745.533854	504	502	397
7745.553854	504	502	396
7745.573854	503	501	397
7745.593854	505	502	396
7745.613854	502	502	397
7745.629219	504	502	396
7745.649219	503	502	397
7745.669219	504	502	397
7745.689219	504	503	397
7745.709219	503	502	396
7745.729219	504	502	397
7745.749219	504	503	396
7745.769219	503	503	396
7745.789219	504	502	397
7745.809219	504	502	397
7745.824575	504	502	397
7745.844575	504	502	397
7745.864575	504	503	397
7745.884575	504	502	396
7745.904575	505	502	397
7745.924575	503	503	397
7745.944575	503	502	396
7745.964575	504	501	396
7745.984575	504	502	396
7746.004575	504	503	396
7746.019931	504	502	397
7746.039931	504	502	397
7746.059931	503	502	397
7746.079931	503	502	397
7746.099931	504	503	396
7746.119931	504	503	398
7746.139931	504	501	397
7746.159931	503	502	397
7746.179931	504	502	397
7746.199931	503	503	397
7746.215295	504	502	397
7746.235295	504	502	396
7746.255295	504	502	397
7746.275295	503	502	397
7746.295295	504	502	396
7746.315295	503	502	397
7746.335295	504	502	397
7746.355295	503	502	397
7746.375295	503	502	396
7746.395295	504	502	397
7746.410660	503	503	397
7746.430660	503	502	396
7746.450660	504	502	396
7746.470660	503	502	397
7746.490660	505	502	396
7746.510660	504	502	397
7746.530660	503	502	397
7746.550660	504	501	396
7746.570660	504	502	398
7746.590660	503	502	397
7746.606016	503	502	397
7746.626016	504	502	397
7746.646016	504	502	397
7746.666016	504	502	396
7746.686016	503	503	397
7746.706016	504	501	397
7746.726016	503	502	397
7746.746016	504	503	397
7746.766016	504	502	397
7746.786016	504	503	396
7746.801372	504	502	397
7746.821372	504	502	397
7746.841372	503	502	396
7746.861372	503	502	397
7746.881372	504	502	396
7746.901372	504	502	397
7746.921372	503	503	397
7746.941372	503	503	396
7746.961372	504	502	397
7746.981372	504	501	397
7746.996736	504	502	397
7747.016736	504	502	396
7747.036736	503	502	396
7747.056736	503	502	396
7747.076736	503	502	397
7747.096736	504	502	397
7747.116736	504	502	397
7747.136736	503	502	397
7747.156736	504	502	397
7747.176736	504	501	397
7747.192101	504	501	397
7747.212101	503	502	397
7747.232101	504	502	397
7747.252101	504	502	396
7747.272101	504	502	397
7747.292101	504	502	398
7747.312101	503	503	397
7747.332101	504	502	397
7747.352101	504	502	396
7747.372101	504	502	396
7747.387457	504	503	397
7747.407457	504	502	397
7747.427457	504	503	396
7747.447457	504	502	396
7747.467457	504	502	396
7747.487457	504	502	397
7747.507457	504	502	397
7747.527457	504	503	396
7747.547457	503	501	397
7747.567457	504	502	397
7747.582812	504	502	397
7747.602812	503	502	397
7747.622812	503	502	396
7747.642812	504	502	397
7747.662812	504	503	398
7747.682812	504	502	397
7747.702812	503	502	397
7747.722812	504	502	397
7747.742812	504	502	396
7747.762812	504	501	397
7747.778177	503	502	397
7747.798177	502	501	396
7747.818177	503	502	397
7747.838177	504	502	396
7747.858177	504	502	397
7747.878177	504	502	398
7747.898177	504	502	397
7747.918177	504	502	398
7747.938177	503	502	396
7747.958177	504	502	397
7747.973542	504	502	397
7747.993542	504	502	397
7748.013542	504	502	397
7748.033542	503	503	397
7748.053542	504	502	397
7748.073542	503	502	396
7748.093542	503	502	397
7748.113542	503	501	397
7748.133542	504	502	397
7748.153542	503	502	397
7748.168898	504	501	396
7748.188898	503	502	397
7748.208898	503	502	397
7748.228898	504	502	396
7748.248898	503	503	397
7748.268898	504	502	397
7748.288898	504	502	397
7748.308898	503	503	396
7748.328898	504	503	396
7748.348898	504	502	397
7748.364253	504	503	397
7748.384253	505	502	397
7748.404253	503	502	397
7748.424253	504	503	397
7748.444253	504	502	396
7748.464253	503	502	397
7748.484253	503	502	397
7748.504253	504	502	396
7748.524253	503	501	397
7748.544253	503	503	398
7748.559627	503	502	396
7748.579627	503	502	397
7748.599627	503	502	397
7748.619627	504	502	396
7748.639627	503	502	397
7748.659627	503	502	397
7748.679627	503	502	396
7748.699627	503	502	396
7748.719627	503	502	396
7748.739627	504	502	397
7748.754983	503	501	396
7748.774983	504	502	397
7748.794983	504	502	397
7748.814983	503	502	397
7748.834983	504	503	397
7748.854983	504	501	396
7748.874983	503	502	397
7748.894983	503	502	396
7748.914983	504	503	396
7748.934983	504	503	397
7748.950347	504	502	396
7748.970347	504	503	396
7748.990347	504	502	396
7749.010347	504	502	398
7749.030347	503	502	397
7749.050347	504	502	397
7749.070347	503	502	397
7749.090347	504	502	397
7749.110347	503	502	397
7749.130347	503	502	397
7749.145703	504	502	396
7749.165703	504	502	396
7749.185703	503	503	395
7749.205703	504	503	397
7749.225703	504	502	397
7749.245703	503	501	396
7749.265703	504	502	396
7749.285703	504	502	397
7749.305703	504	502	397
7749.325703	504	503	397
7749.341068	504	502	397
7749.361068	504	502	397
7749.381068	504	502	397
7749.401068	503	502	397
7749.421068	504	502	398
7749.441068	503	502	397
7749.461068	503	503	397
7749.481068	504	503	396
7749.501068	503	502	397
7749.521068	503	502	398
7749.536424	505	502	397
7749.556424	504	502	396
7749.576424	504	502	397
7749.596424	503	502	397
7749.616424	503	502	397
7749.636424	505	502	398
7749.656424	503	501	397
7749.676424	504	503	397
7749.696424	504	502	397
7749.716424	504	502	396
7749.731788	503	502	396
7749.751788	504	502	396
7749.771788	504	502	397
7749.791788	503	502	397
7749.811788	504	502	397
7749.831788	504	502	397
7749.851788	504	502	396
7749.871788	504	503	396
7749.891788	504	502	397
7749.911788	503	503	396
7749.927135	503	501	397
7749.947135	504	503	397
7749.967135	503	503	398
7749.987135	503	502	397
7750.007135	504	502	397
7750.027135	503	502	397
7750.047135	503	502	396
7750.067135	503	502	396
7750.087135	504	502	397
7750.107135	504	502	397
7750.122509	504	502	397
7750.142509	504	502	397
7750.162509	504	502	396
7750.182509	504	503	397
7750.202509	504	502	397
7750.222509	504	502	396
7750.242509	504	502	396
7750.262509	503	503	397
7750.282509	503	502	396
7750.302509	503	502	397
7750.317865	503	502	396
7750.337865	503	502	397
7750.357865	503	502	397
7750.377865	503	502	396
7750.397865	503	501	397
7750.417865	504	502	396
7750.437865	504	502	395
7750.457865	503	502	397
7750.477865	503	502	397
7750.497865	504	503	397
7750.513229	504	502	396
7750.533229	504	502	397
7750.553229	504	502	397
7750.573229	504	502	396
7750.593229	503	502	397
7750.613229	504	503	396
7750.633229	504	502	396
7750.653229	504	502	397
7750.673229	503	502	397
7750.693229	503	502	396
7750.708576	503	502	397
7750.728576	503	503	397
7750.748576	504	502	397
7750.768576	503	503	396
7750.788576	503	503	396
7750.808576	504	503	397
7750.828576	503	502	397
7750.848576	503	502	397
7750.868576	504	502	397
7750.888576	504	502	397
7750.903950	504	502	396
7750.923950	504	503	397
7750.943950	504	501	397
7750.963950	503	503	397
7750.983950	504	502	396
7751.003950	504	502	397
7751.023950	503	502	396
7751.043950	504	502	396
7751.063950	505	502	397
7751.083950	505	502	396
7751.099306	504	502	397
7751.119306	504	503	397
7751.139306	504	502	397
7751.159306	504	502	397
7751.179306	504	502	397
7751.199306	504	503	396
7751.219306	504	501	396
7751.239306	504	502	396
7751.259306	503	502	397
7751.279306	504	502	397
7751.294670	504	502	396
7751.314670	503	502	397
7751.334670	504	502	396
7751.354670	503	502	396
7751.374670	504	502	397
7751.394670	503	502	397
7751.414670	504	502	397
7751.434670	504	502	397
7751.454670	503	502	397
7751.474670	503	502	397
7751.490017	503	502	396
7751.510017	503	502	397
7751.530017	504	503	396
7751.550017	503	503	397
7751.570017	503	502	397
7751.590017	504	502	396
7751.610017	504	502	397
7751.630017	504	502	397
7751.650017	503	502	396
7751.670017	504	502	397
7751.685391	504	501	396
7751.705391	503	502	396
7751.725391	504	502	397
7751.745391	504	503	396
7751.765391	503	502	396
7751.785391	504	501	396
7751.805391	504	501	397
7751.825391	503	502	397
7751.845391	504	502	397
7751.865391	504	502	396
7751.880747	504	502	396
7751.900747	503	502	397
7751.920747	503	502	397
7751.940747	504	502	396
7751.960747	504	503	396
7751.980747	503	502	396
7752.000747	503	502	398
7752.020747	503	502	397
7752.040747	504	502	396
7752.060747	503	502	397
7752.076111	503	503	397
7752.096111	503	502	396
7752.116111	504	502	397
7752.136111	504	502	397
7752.156111	503	502	398
7752.176111	503	502	397
7752.196111	504	503	396
7752.216111	504	503	397
7752.236111	503	503	396
7752.256111	504	502	396
7752.271458	503	502	396
7752.291458	504	501	396
7752.311458	503	503	397
7752.331458	504	502	396
7752.351458	503	501	396
7752.371458	504	503	397
7752.391458	503	503	397
7752.411458	503	502	396
7752.431458	503	502	397
7752.451458	504	502	396
7752.466832	503	502	397
7752.486832	503	502	397
7752.506832	504	502	397
7752.526832	503	502	397
7752.546832	504	502	396
7752.566832	504	502	396
7752.586832	504	502	397
7752.606832	504	502	396
7752.626832	504	502	397
7752.646832	504	503	396
7752.662196	503	502	397
7752.682196	503	502	397
7752.702196	504	502	397
7752.722196	504	502	397
7752.742196	504	501	397
7752.762196	504	502	397
7752.782196	503	502	396
7752.802196	503	503	397
7752.822196	503	502	396
7752.842196	504	502	396
7752.857552	504	502	397
7752.877552	504	502	397
7752.897552	504	502	396
7752.917552	503	502	397
7752.937552	503	502	397
7752.957552	503	502	397
7752.977552	503	502	397
7752.997552	504	502	397
7753.017552	504	502	396
7753.037552	504	502	396
7753.052908	504	503	396
7753.072908	504	502	397
7753.092908	504	502	396
7753.112908	503	503	397
7753.132908	504	502	397
7753.152908	503	502	396
7753.172908	503	501	396
7753.192908	503	502	396
7753.212908	504	502	396
7753.232908	503	502	397
7753.248273	504	502	396
7753.268273	504	502	397
7753.288273	504	503	397
7753.308273	503	502	397
7753.328273	503	502	396
7753.348273	504	503	397
7753.368273	503	502	397
7753.388273	503	502	397
7753.408273	503	502	397
7753.428273	504	502	397
7753.443637	503	502	397
7753.463637	503	502	396
7753.483637	503	502	397
7753.503637	503	502	397
7753.523637	503	502	397
7753.543637	503	503	397
7753.563637	503	502	396
7753.583637	503	502	397
7753.603637	504	502	396
7753.623637	503	502	397
7753.638993	503	502	397
7753.658993	504	502	397
7753.678993	504	502	397
7753.698993	504	502	397
7753.718993	503	502	397
7753.738993	504	502	397
7753.758993	503	502	397
7753.778993	504	502	397
7753.798993	503	503	396
7753.818993	503	503	397
7753.834349	504	501	396
7753.854349	503	503	397
7753.874349	504	502	396
7753.894349	504	502	397
7753.914349	504	502	397
7753.934349	503	502	397
7753.954349	503	502	396
7753.974349	503	502	397
7753.994349	504	502	397
7754.014349	504	502	396
7754.029714	503	502	398
7754.049714	504	503	397
7754.069714	504	502	396
7754.089714	503	502	397
7754.109714	504	502	396
7754.129714	504	502	397
7754.149714	503	502	397
7754.169714	503	502	396
7754.189714	504	502	397
7754.209714	504	502	397
7754.225078	504	502	397
7754.245078	503	502	397
7754.265078	504	502	397
7754.285078	503	502	396
7754.305078	504	503	396
7754.325078	504	502	397
7754.345078	504	502	397
7754.365078	503	502	397
7754.385078	504	502	396
7754.405078	503	503	396
7754.420434	503	502	397
7754.440434	504	502	397
7754.460434	504	501	396
7754.480434	504	503	397
7754.500434	504	502	397
7754.520434	504	502	396
7754.540434	504	501	397
7754.560434	503	502	396
7754.580434	504	502	396
7754.600434	503	502	396
7754.621667	504	502	397
7754.641667	504	502	396
7754.661667	504	502	396
7754.681667	504	502	397
7754.701667	504	502	397
7754.721667	504	502	397
7754.741667	503	503	397
7754.761667	503	502	396
7754.781667	504	502	397
7754.801667	504	503	397
7754.811155	503	502	397
7754.831155	503	502	397
7754.851155	504	503	396
7754.871155	503	502	396
7754.891155	504	502	397
7754.911155	504	502	396
7754.931155	504	502	397
7754.951155	503	503	396
7754.971155	503	502	397
7754.991155	503	502	396
7755.006519	503	503	397
7755.026519	504	502	397
7755.046519	504	502	397
7755.066519	504	503	396
7755.086519	503	502	396
7755.106519	503	502	397
7755.126519	504	502	396
7755.146519	503	503	396
7755.166519	504	502	397
7755.186519	504	501	397
7755.201875	504	502	397
7755.221875	504	502	397
7755.241875	504	503	397
7755.261875	503	502	396
7755.281875	503	502	397
7755.301875	503	502	397
7755.321875	503	502	397
7755.341875	504	502	397
7755.361875	503	502	397
7755.381875	503	502	396
7755.397231	503	502	397
7755.417231	504	502	397
7755.437231	504	503	397
7755.457231	504	502	397
7755.477231	504	502	396
7755.497231	504	502	397
7755.517231	504	501	397
7755.537231	503	502	396
7755.557231	504	502	396
7755.577231	504	502	397
7755.592595	503	502	396
7755.612595	503	502	396
7755.632595	503	502	397
7755.652595	504	501	397
7755.672595	503	503	397
7755.692595	503	502	397
7755.712595	504	502	397
7755.732595	503	502	396
7755.752595	504	502	397
7755.772595	503	502	397
7755.787960	503	502	397
7755.807960	504	503	396
7755.827960	504	503	397
7755.847960	503	502	397
7755.867960	504	502	397
7755.887960	504	502	396
7755.907960	504	502	397
7755.927960	503	502	396
7755.947960	503	503	397
7755.967960	503	503	397
7755.983316	503	502	397
7756.003316	503	502	397
7756.023316	503	502	397
7756.043316	503	503	397
7756.063316	504	502	396
7756.083316	503	502	397
7756.103316	504	503	396
7756.123316	504	503	397
7756.143316	503	502	396
7756.163316	503	502	396
7756.178672	503	502	397
7756.198672	504	502	396
7756.218672	504	502	397
7756.238672	504	501	397
7756.258672	503	502	397
7756.278672	504	502	397
7756.298672	504	502	397
7756.318672	503	502	396
7756.338672	504	502	397
7756.358672	503	502	396
7756.374036	503	502	397
7756.394036	504	502	397
7756.414036	504	502	396
7756.434036	504	502	396
7756.454036	504	502	397
7756.474036	504	503	396
7756.494036	503	502	397
7756.514036	503	502	397
7756.534036	503	502	396
7756.554036	503	503	396
7756.569401	504	502	397
7756.589401	503	503	396
7756.609401	504	502	396
7756.629401	503	503	396
7756.649401	503	502	397
7756.669401	504	502	396
7756.689401	504	503	397
7756.709401	503	502	397
7756.729401	504	503	397
7756.749401	504	502	397
7756.764766	504	502	397
7756.784766	504	502	397
7756.804766	503	502	396
7756.824766	504	502	397
7756.844766	503	503	396
7756.864766	503	503	396
7756.884766	504	502	397
7756.904766	504	502	397
7756.924766	503	502	397
7756.944766	504	503	397
7756.960113	503	502	397
7756.980113	504	503	397
7757.000113	504	502	396
7757.020113	504	502	396
7757.040113	504	501	397
7757.060113	504	502	396
7757.080113	504	503	397
7757.100113	504	502	397
7757.120113	503	502	397
7757.140113	504	504	396
7757.155486	503	503	397
7757.175486	504	502	396
7757.195486	504	502	397
7757.215486	504	502	396
7757.235486	503	501	397
7757.255486	503	502	396
7757.275486	504	502	396
7757.295486	504	502	396
7757.315486	504	502	397
7757.335486	503	502	397
7757.350842	504	501	397
7757.370842	504	502	397
7757.390842	503	502	396
7757.410842	504	502	397
7757.430842	504	502	397
7757.450842	504	502	396
7757.470842	503	503	397
7757.490842	504	502	397
7757.510842	503	502	397
7757.530842	504	502	397
7757.546207	504	502	396
7757.566207	503	503	396
7757.586207	504	502	397
7757.606207	503	503	397
7757.626207	503	502	396
7757.646207	503	502	397
7757.666207	504	503	397
7757.686207	504	501	396
7757.706207	503	502	397
